Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Brooklyn,Prospect Park South,4a6cba95f964a52073d11fe3,Peppa's Jerk Chicken,162,9.0,57
Brooklyn,Prospect Park South,57e84045498e0ee2333a41d4,Suzy's Roti Parlour,15,7.8,5
Brooklyn,Prospect Park South,4e26eebed16486291ba4d622,Jen's Roti Shop,16,7.7,7
Brooklyn,Prospect Park South,5a0f90888264443d4b674cdf,Caribbean Social,16,7.2,8
Brooklyn,Prospect Park South,5879815625911e1bb23364a0,Sip unWINE,9,7.5,4
Brooklyn,Prospect Park South,4a611b29f964a520dec11fe3,Nio's Trinidad Roti Shop,31,7.5,13
Brooklyn,Prospect Park South,4c5dd01cd25320a1a924c77a,De Bamboo Express Restaurant & Bakery,11,7.2,4
Brooklyn,Georgetown,4bfd2559f61dc9b6bc8a9ede,Golden Krust Caribbean Restaurant,5,6.7,4
Manhattan,Washington Heights,4afcba6af964a5206d2522e3,La Casa del Mofongo,163,7.9,61
Manhattan,Hamilton Heights,4eb32c34e5fa17fc85cc483f,Wat’s On Your Plate,25,8.6,21
Manhattan,Hamilton Heights,4a7a35faf964a520dee81fe3,One Stop Patty Shop,13,7.5,10
Manhattan,Central Harlem,5645609b498e47952f22cd7d,Jerkyz,7,7.3,1
Manhattan,Roosevelt Island,4f5660c3e4b0ac8e5470d4b2,Melting Pot Cuisine,15,7.9,9
Manhattan,Manhattan Valley,4bb2a2af4019a593ea2437b8,Freda's Caribbean & Soul Cuisine,56,8.3,51
Manhattan,Morningside Heights,4bb2a2af4019a593ea2437b8,Freda's Caribbean & Soul Cuisine,56,8.3,51
Queens,Forest Hills,4af6f269f964a5204a0422e3,Cabana Restaurant & Bar,125,8.3,89
Queens,Kew Gardens,4b9d2a05f964a520769536e3,Kaieteur Restaurant,23,8.0,14
Queens,Richmond Hill,4b9d2a05f964a520769536e3,Kaieteur Restaurant,23,8.0,14
Queens,Sunnyside,4bf6cd2d13aed13ac039eaf7,Golden Krust Caribbean Bakery and Grill,1,6.9,3
Queens,South Ozone Park,4da0da7563b5a35d809ddb19,The Legend Cookhouse Guyana Cuisine,5,7.2,2
Queens,South Ozone Park,4d793f73132d8eec4f7815be,G's Restaurant and Bakery,6,6.4,1
Queens,College Point,4b8abd9cf964a520b07d32e3,Mangu Grill,13,6.7,7
Queens,Jamaica Center,4bce1e93cc8cd13a37c8c3cf,Jamaican Flavors,23,7.8,9
Queens,Jamaica Center,4c0eeb0415c2ef3bad541b08,Genesis #1,27,8.4,13
